127.0.0.1 - - [17/Sep/2023:20:40:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Sep/2023:20:40:32 +0530] "GET /ServCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:20:40:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Sep/2023:20:40:40 +0530] "POST /ServCRUD/saveservlet HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:21:51 +0530] "GET /FormCRUD/ HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:21:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:29 +0530] "GET /FormCRUD/ HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:31 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:31 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:31 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:39 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:42 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:42 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:43 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Sep/2023:23:22:43 +0530] "GET /FormCRUD/ HTTP/1.1" 304 -
